time,power (W),energy (Wh),total power,total energy,power (kW)
3/1/2016 5:00,0,0,0,0,0
3/1/2016 5:01,0,0,0,0,0
3/1/2016 5:02,0,0,0,0,0
3/1/2016 5:03,0,0,0,0,0
3/1/2016 5:04,0,0,0,0,0
3/1/2016 5:05,0,0,0,0,0
3/1/2016 5:06,0,0,0,0,0
3/1/2016 5:07,0,0,0,0,0
3/1/2016 5:08,0,0,0,0,0
3/1/2016 5:09,0,0,0,0,0
3/1/2016 5:10,0,0,0,0,0
3/1/2016 5:11,0,0,0,0,0
3/1/2016 5:12,0,0,0,0,0
3/1/2016 5:13,0,0,0,0,0
3/1/2016 5:14,0,0,0,0,0
3/1/2016 5:15,0,0,0,0,0
3/1/2016 5:16,0,0,0,0,0
3/1/2016 5:17,0,0,0,0,0
3/1/2016 5:18,0,0,0,0,0
3/1/2016 5:19,0,0,0,0,0
3/1/2016 5:20,0,0,0,0,0
3/1/2016 5:21,0,0,0,0,0
3/1/2016 5:22,0,0,0,0,0
3/1/2016 5:23,0,0,0,0,0
3/1/2016 5:24,0,0,0,0,0
3/1/2016 5:25,0,0,0,0,0
3/1/2016 5:26,0,0,0,0,0
3/1/2016 5:27,0,0,0,0,0
3/1/2016 5:28,0,0,0,0,0
3/1/2016 5:29,0,0,0,0,0
3/1/2016 5:30,0,0,0,0,0
3/1/2016 5:31,0,0,0,0,0
3/1/2016 5:32,0,0,0,0,0
3/1/2016 5:33,0,0,0,0,0
3/1/2016 5:34,0,0,0,0,0
3/1/2016 5:35,0,0,0,0,0
3/1/2016 5:36,0,0,0,0,0
3/1/2016 5:37,0,0,0,0,0
3/1/2016 5:38,0,0,0,0,0
3/1/2016 5:39,0,0,0,0,0
3/1/2016 5:40,0,0,0,0,0
3/1/2016 5:41,0,0,0,0,0
3/1/2016 5:42,0,0,0,0,0
3/1/2016 5:43,0,0,0,0,0
3/1/2016 5:44,0,0,0,0,0
3/1/2016 5:45,0,0,0,0,0
3/1/2016 5:46,0,0,0,0,0
3/1/2016 5:47,0,0,0,0,0
3/1/2016 5:48,0,0,0,0,0
3/1/2016 5:49,0,0,0,0,0
3/1/2016 5:50,0,0,0,0,0
3/1/2016 5:51,0,0,0,0,0
3/1/2016 5:52,0,0,0,0,0
3/1/2016 5:53,0,0,0,0,0
3/1/2016 5:54,0,0,0,0,0
